"","sex","age","degree","income","income_vs_average","satisfication","happy","health"
"1","Male",20,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"2","Male",76,"Hight school","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"3","Female",61,"Bachelors","$9000-$9999","Average","More of less satisfied","Pretty happy","Fair"
"4","Male",37,"Less than high school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"5","Male",23,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"6","Female",20,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"7","Female",65,"Hight school","$20000-$24999","Average","More of less satisfied","Not too happy","Fair"
"8","Female",22,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"9","Female",33,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"10","Male",31,"Bachelors","More than $25000","Far above average","Pretty well satisfied","Pretty happy","Fair"
"11","Female",33,"Bachelors","$9000-$9999","Far below average","Not satisfied at all","Not too happy","Poor"
"12","Male",37,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"13","Male",53,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"14","Female",43,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"15","Male",65,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"16","Female",30,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"17","Female",52,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"18","Male",34,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"19","Male",53,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"20","Female",62,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"21","Female",62,"Less than high school","$20000-$24999","Below average","Not satisfied at all","Not too happy","Good"
"22","Male",42,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Fair"
"23","Male",29,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"24","Female",51,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"25","Female",24,"Bachelors","$10000-$14999","Average","Not satisfied at all","Not too happy","Good"
"26","Female",28,"Hight school","$15000-$19999","Below average","Not satisfied at all","Not too happy","Fair"
"27","Male",30,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"28","Male",57,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"29","Female",43,"Bachelors","$20000-$24999","Below average","More of less satisfied","Pretty happy","Excellent"
"30","Female",31,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"31","Female",64,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"32","Female",82,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"33","Male",58,"Less than high school","$20000-$24999","Below average","More of less satisfied","Pretty happy","Excellent"
"34","Male",89,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Good"
"35","Male",51,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"36","Male",78,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"37","Female",42,"Bachelors","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"38","Male",64,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"39","Female",51,"associate/junior college","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"40","Male",50,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"41","Female",55,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"42","Male",57,"Hight school","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"43","Male",62,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"44","Female",62,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"45","Male",33,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"46","Female",72,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"47","Female",64,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"48","Male",42,"Bachelors","More than $25000","Far below average","More of less satisfied","Pretty happy","Good"
"49","Female",73,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Excellent"
"50","Female",63,"Less than high school","$20000-$24999","Average","More of less satisfied","Not too happy","Good"
"51","Female",32,"Bachelors","More than $25000","Average","Not satisfied at all","Not too happy","Fair"
"52","Male",65,"Bachelors","$10000-$14999","Average","More of less satisfied","Not too happy","Excellent"
"53","Female",33,"Hight school","$10000-$14999","Average","Not satisfied at all","Pretty happy","Good"
"54","Male",28,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Fair"
"55","Female",55,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"56","Male",66,"associate/junior college","$20000-$24999","Below average","More of less satisfied","Not too happy","Good"
"57","Male",74,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"58","Female",66,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"59","Male",70,"Hight school","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"60","Female",57,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"61","Male",60,"Less than high school","$10000-$14999","Average","More of less satisfied","Very happy","Good"
"62","Male",41,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"63","Female",46,"associate/junior college","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"64","Female",22,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"65","Male",38,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"66","Female",64,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"67","Male",68,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"68","Male",28,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"69","Male",33,"Graduate","More than $25000","Below average","Pretty well satisfied","Not too happy","Good"
"70","Female",32,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Excellent"
"71","Female",54,"Hight school","More than $25000","Far above average","More of less satisfied","Very happy","Good"
"72","Female",71,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"73","Female",89,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"74","Female",63,"Hight school","$20000-$24999","Below average","More of less satisfied","Very happy","Good"
"75","Male",73,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"76","Female",59,"Hight school","More than $25000","Average","Not satisfied at all","Not too happy","Fair"
"77","Female",56,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"78","Male",25,"Bachelors","More than $25000","Far above average","Pretty well satisfied","Pretty happy","Excellent"
"79","Female",25,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"80","Male",58,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"81","Female",84,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"82","Female",68,"Hight school","$10000-$14999","Below average","More of less satisfied","Pretty happy","Fair"
"83","Female",63,"Less than high school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"84","Female",36,"Bachelors","More than $25000","Average","Not satisfied at all","Not too happy","Poor"
"85","Male",67,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"86","Female",60,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"87","Male",87,"Hight school","More than $25000","Far below average","More of less satisfied","Not too happy","Fair"
"88","Female",74,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"89","Female",66,"Hight school","$1000-$2999","Below average","Not satisfied at all","Pretty happy","Good"
"90","Female",46,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"91","Male",43,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"92","Male",49,"Hight school","$10000-$14999","Below average","Not satisfied at all","Not too happy","Good"
"93","Male",74,"associate/junior college","More than $25000","Average","Pretty well satisfied","Not too happy","Fair"
"94","Female",54,"Bachelors","$15000-$19999","Below average","Not satisfied at all","Pretty happy","Good"
"95","Male",53,"Graduate","More than $25000","Far below average","More of less satisfied","Not too happy","Good"
"96","Male",62,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"97","Female",65,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"98","Female",41,"Graduate","$10000-$14999","Far below average","Not satisfied at all","Pretty happy","Poor"
"99","Male",46,"associate/junior college","$6000-$6999","Above average","More of less satisfied","Pretty happy","Poor"
"100","Female",64,"Bachelors","More than $25000","Above average","Not satisfied at all","Pretty happy","Fair"
"101","Female",79,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Fair"
"102","Female",33,"Bachelors","$10000-$14999","Average","Not satisfied at all","Very happy","Excellent"
"103","Male",74,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"104","Female",75,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Fair"
"105","Male",74,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"106","Male",65,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"107","Female",41,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"108","Male",57,"Bachelors","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"109","Female",36,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
